,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
298,Yeni Tikili,,2.0,2,42750,57 ,Kupcali
299,Kohne Tikili,Nesimi r.,1.0,3,89000,60 ,Kupcali
300,Kohne Tikili,,,2,87000,60 ,Kupcali
301,Yeni Tikili,Xetai r.,14.0,2,164000,75 ,Kupcali
302,Yeni Tikili,Yasamal r.,11.0,3,110000,85 ,Kupcali
303,Yeni Tikili,Nesimi r.,7.0,2,130000,90 ,Kupcali
304,Yeni Tikili,Yasamal r.,2.0,2,100000,74 ,Kupcali
305,Yeni Tikili,Sebail r.,13.0,1,72000,58 ,Kupcali
306,Yeni Tikili,Bineqedi r.,8.0,3,220000,133 ,Kupcali
307,Yeni Tikili,Pirallahi r.,12.0,3,400000,161 ,Kupcasiz
308,Yeni Tikili,Yasamal r.,5.0,1,75000,45 ,Kupcali
309,Yeni Tikili,Nizami r.,7.0,3,139000,140 ,Kupcali
310,Yeni Tikili,,,4,670000,200 ,Kupcasiz
311,Yeni Tikili,Nesimi r.,11.0,4,185000,135 ,Kupcali
312,Kohne Tikili,Nizami r.,2.0,1,61000,32 ,Kupcali
313,Kohne Tikili,Xezer r.,4.0,2,64000,60 ,Kupcali
314,Yeni Tikili,Xetai r.,14.0,3,220000,117 ,Kupcali
315,Yeni Tikili,Yasamal r.,7.0,3,248000,138 ,Kupcali
316,Kohne Tikili,Yasamal r.,2.0,2,87000,60 ,Kupcali
317,Yeni Tikili,Nesimi r.,5.0,3,330000,156 ,Kupcali
318,Yeni Tikili,,,3,177000,119 ,Kupcasiz
319,Yeni Tikili,Yasamal r.,12.0,2,85000,46 ,Kupcali
320,Yeni Tikili,Nerimanov r.,4.0,3,333000,151 ,Kupcasiz
321,Kohne Tikili,Xetai r.,6.0,4,84900,110 ,Kupcali
322,Kohne Tikili,,,2,64000,60 ,Kupcasiz
323,Yeni Tikili,Bineqedi r.,6.0,2,70000,85 ,Kupcali
324,Yeni Tikili,Xetai r.,14.0,3,188000,132 ,Kupcali
325,Yeni Tikili,Yasamal r.,5.0,3,124000,110 ,Kupcali
326,Yeni Tikili,Yasamal r.,13.0,3,108000,113 ,Kupcali
327,Yeni Tikili,Xetai r.,11.0,2,88000,84 ,Kupcali
328,Yeni Tikili,Yasamal r.,5.0,4,315000,192 ,Kupcali
329,Yeni Tikili,Yasamal r.,14.0,5,510000,362 ,Kupcali
330,Yeni Tikili,Nesimi r.,5.0,3,159000,90 ,Kupcali
331,Kohne Tikili,Yasamal r.,8.0,2,82000,55 ,Kupcali
